"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"5645",2020-03-10,10,3,2020,-9,1,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5646",2020-03-02,2,3,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5647",2020-03-01,1,3,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5648",2020-02-29,29,2,2020,0,2,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5649",2020-02-28,28,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5650",2020-02-27,27,2,2020,14,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5651",2020-02-26,26,2,2020,0,1,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5652",2020-02-25,25,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5653",2020-02-24,24,2,2020,57,1,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5654",2020-02-23,23,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5655",2020-02-22,22,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5656",2020-02-21,21,2,2020,13,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5657",2020-02-20,20,2,2020,79,2,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5658",2020-02-19,19,2,2020,88,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5659",2020-02-18,18,2,2020,99,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5660",2020-02-17,17,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5661",2020-02-16,16,2,2020,134,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5662",2020-02-15,15,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5663",2020-02-14,14,2,2020,47,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5664",2020-02-13,13,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5665",2020-02-12,12,2,2020,39,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5666",2020-02-11,11,2,2020,65,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5667",2020-02-10,10,2,2020,6,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5668",2020-02-09,9,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5669",2020-02-08,8,2,2020,3,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5670",2020-02-07,7,2,2020,41,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5671",2020-02-06,6,2,2020,10,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5672",2020-02-05,5,2,2020,10,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5673",2020-02-04,4,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
"5674",2020-02-03,3,2,2020,0,0,"Cases_on_an_international_conveyance_Japan","JPG11668",NA,NA,"Other",NA
