"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000"
"32260",2020-08-04,4,8,2020,928,9,"United_Kingdom","UK","GBR",66647112,"Europe",14.26618456
"32261",2020-08-03,3,8,2020,743,8,"United_Kingdom","UK","GBR",66647112,"Europe",13.4934579
"32262",2020-08-02,2,8,2020,771,74,"United_Kingdom","UK","GBR",66647112,"Europe",13.11834787
"32263",2020-08-01,1,8,2020,880,120,"United_Kingdom","UK","GBR",66647112,"Europe",12.81525897
"32264",2020-07-31,31,7,2020,846,38,"United_Kingdom","UK","GBR",66647112,"Europe",12.55118151
"32265",2020-07-30,30,7,2020,763,83,"United_Kingdom","UK","GBR",66647112,"Europe",12.44014894
"32266",2020-07-29,29,7,2020,70,119,"United_Kingdom","UK","GBR",66647112,"Europe",12.32311462
"32267",2020-07-28,28,7,2020,371,7,"United_Kingdom","UK","GBR",66647112,"Europe",13.30740333
"32268",2020-07-27,27,7,2020,421,14,"United_Kingdom","UK","GBR",66647112,"Europe",13.29239893
"32269",2020-07-26,26,7,2020,667,61,"United_Kingdom","UK","GBR",66647112,"Europe",13.32390817
"32270",2020-07-25,25,7,2020,731,123,"United_Kingdom","UK","GBR",66647112,"Europe",13.17086328
"32271",2020-07-24,24,7,2020,773,53,"United_Kingdom","UK","GBR",66647112,"Europe",13.14685624
"32272",2020-07-23,23,7,2020,751,79,"United_Kingdom","UK","GBR",66647112,"Europe",13.02682103
"32273",2020-07-22,22,7,2020,793,110,"United_Kingdom","UK","GBR",66647112,"Europe",12.79575325
"32274",2020-07-21,21,7,2020,413,12,"United_Kingdom","UK","GBR",66647112,"Europe",12.66221408
"32275",2020-07-20,20,7,2020,493,27,"United_Kingdom","UK","GBR",66647112,"Europe",12.87527658
"32276",2020-07-19,19,7,2020,569,40,"United_Kingdom","UK","GBR",66647112,"Europe",12.73723609
"32277",2020-07-18,18,7,2020,704,114,"United_Kingdom","UK","GBR",66647112,"Europe",12.75224049
"32278",2020-07-17,17,7,2020,772,66,"United_Kingdom","UK","GBR",66647112,"Europe",12.5991956
"32279",2020-07-16,16,7,2020,685,85,"United_Kingdom","UK","GBR",66647112,"Europe",12.41764234
"32280",2020-07-15,15,7,2020,726,138,"United_Kingdom","UK","GBR",66647112,"Europe",12.31561242
"32281",2020-07-14,14,7,2020,361,11,"United_Kingdom","UK","GBR",66647112,"Europe",12.32161418
"32282",2020-07-13,13,7,2020,442,21,"United_Kingdom","UK","GBR",66647112,"Europe",12.44915159
"32283",2020-07-12,12,7,2020,565,148,"United_Kingdom","UK","GBR",66647112,"Europe",12.75974269
"32284",2020-07-11,11,7,2020,715,48,"United_Kingdom","UK","GBR",66647112,"Europe",12.91878934
"32285",2020-07-10,10,7,2020,693,85,"United_Kingdom","UK","GBR",66647112,"Europe",12.92779198
"32286",2020-07-09,9,7,2020,597,126,"United_Kingdom","UK","GBR",66647112,"Europe",13.05532939
"32287",2020-07-08,8,7,2020,704,155,"United_Kingdom","UK","GBR",66647112,"Europe",13.48895658
"32288",2020-07-07,7,7,2020,555,16,"United_Kingdom","UK","GBR",66647112,"Europe",13.77704108
"32289",2020-07-06,6,7,2020,401,22,"United_Kingdom","UK","GBR",66647112,"Europe",13.90307805
"32290",2020-07-05,5,7,2020,579,67,"United_Kingdom","UK","GBR",66647112,"Europe",14.33220392
"32291",2020-07-04,4,7,2020,602,136,"United_Kingdom","UK","GBR",66647112,"Europe",14.94288305
"32292",2020-07-03,3,7,2020,651,89,"United_Kingdom","UK","GBR",66647112,"Europe",15.58057009
"32293",2020-07-02,2,7,2020,617,176,"United_Kingdom","UK","GBR",66647112,"Europe",16.12372941
"32294",2020-07-01,1,7,2020,730,155,"United_Kingdom","UK","GBR",66647112,"Europe",16.85144287
"32295",2020-06-30,30,6,2020,446,25,"United_Kingdom","UK","GBR",66647112,"Europe",17.32108062
"32296",2020-06-29,29,6,2020,649,36,"United_Kingdom","UK","GBR",66647112,"Europe",17.8852461
